Zone,Artemisia #,GPS Point #,Longest Branch (cm)
F1,1,1,105
F1,2,2,104.6
F1,3,3,137.5
F1,4,4,103.4
F1,5,5,100.1
F1,6,6,117.2
F1,7,7,97.1
F1,8,8,134.8
F1,9,9,141.1
F1,10,10,118.3
F1,11,11,103.9
F1,12,12,141.5
F1,13,13,130.5
F1,14,14,119.2
F1,15,15,155.5
F1,16,16,131
F1,17,17,108.4
F1,18,18,114.9
F1,19,19,121.6
F1,20,20,108.2
F1,21,21,118.5
F1,22,22,138.9
F1,23,23,144.2
F1,24,24,117.5
F1,25,25,106.5
F1,26,26,117.4
F1,27,27,92.2
F1,28,28,102.8
F1,29,29,120.7
F1,30,30,120
F1,31,31,146
F1,32,32,185
F1,33,33,130
F1,34,34,126
F1,35,35,121
F3,1,1,63
F3,2,2,109.5
F3,3,3,33
F3,4,4,136
F3,5,5,83
F3,6,6,37
F3,7,7,89
F3,8,8,95
F3,9,9,101
F3,10,10,105
F3,11,11,120
F3,12,12,82
F3,13,13,107
F3,14,14,84.5
F3,15,15,36.9
F3,16,16,37.6
F3,17,17,67.7
F3,18,18,74.8
F3,19,19,113.4
F3,20,20,50.1
F3,21,21,75.8
F3,22,22,54.5
F3,23,23,96.2
F3,24,24,74.8
F3,25,25,115.5
F3,26,26,81.7
F3,27,27,87.4
F3,28,28,129.9
F3,29,29,83.3
F3,30,30,66
F3,31,31,109
F3,32,32,139.1
F3,33,33,114.4
F3,34,34,35
F3,35,35,65
F3,36,36,73
F3,37,37,65
F3,38,38,107
F3,39,39,110
F3,40,40,100
F3,41,41,68
F3,42,42,75
F3,43,43,174
F3,44,44,100
F3,45,45,92
F3,46,46,100
F3,47,47,105
F3,48,48,96
F3,49,49,80
F3,50,50,74
F3,51,51,110
F3,52,52,62
F3,53,53,64
